symbol,qty,buyPrice,sellPrice,Point,PnL,Result,boughtTimestamp,soldTimestamp,duration
MNQ,2 Long,21529.5,21532.0,2.5,10.0,Win,2025-01-17 17:48:38,2025-01-17 17:48:45,7
MNQ,2 Long,21519.0,21522.25,3.25,13.0,Win,2025-01-17 17:54:16,2025-01-17 17:55:14,58
MNQ,2 Short,21539.5,21542.5,3.0,12.0,Win,2025-01-17 17:57:48,2025-01-17 17:56:12,95
MNQ,2 Short,21528.25,21548.25,40.0,80.0,Win,2025-01-17 18:02:58,2025-01-17 18:02:44,25
MNQ,2 Long,21559.75,21579.75,20.0,80.0,Win,2025-01-17 18:05:29,2025-01-17 18:06:00,31
MNQ,2 Short,21520.5,21506.5,14.0,-56.0,Loss,2025-01-17 18:23:52,2025-01-17 18:23:01,50
MNQ,2 Short,21503.5,21520.75,34.5,69.0,Win,2025-01-17 18:26:11,2025-01-17 18:24:28,204
MNQ,2 Long,21494.75,21503.5,8.75,35.0,Win,2025-01-17 18:28:06,2025-01-17 18:28:25,19
MNQ,2 Short,21527.25,21513.25,14.0,-56.0,Loss,2025-01-17 18:29:05,2025-01-17 18:28:58,6
MNQ,2 Long,21527.75,21535.0,7.25,29.0,Win,2025-01-17 18:29:12,2025-01-17 18:30:11,59
MNQ,2 Long,21523.25,21531.25,8.0,32.0,Win,2025-01-17 18:30:56,2025-01-17 18:31:19,22
MNQ,2 Short,21566.25,21574.25,8.0,32.0,Win,2025-01-17 18:41:23,2025-01-17 18:41:07,15
