symbol,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration,Side,Result,PnL,Trade Entry Time,Duration Category,Session,Point,ATR 1M,ATR 5M
MNQ,167247890012,167247890031,2,21529.5,21532.0,$10.00,2025-01-17 17:48:38,2025-01-17 17:48:45,7,Long,Win,10.0,01/17/2025 17:48:38,0-30 sec,0-30 min,2.5,,
MNQ,167247890067,167247890089,2,21519.0,21522.25,$13.00,2025-01-17 17:54:16,2025-01-17 17:55:14,58,Long,Win,13.0,01/17/2025 17:54:16,30-120 sec,0-30 min,3.25,,
MNQ,167247890135,167247890108,2,21539.5,21542.5,$12.00,2025-01-17 17:57:48,2025-01-17 17:56:12,95,Short,Win,12.0,01/17/2025 17:56:12,30-120 sec,0-30 min,3.0,,
MNQ,167247890183,167247890151,1,21528.25,21548.25,$40.00,2025-01-17 18:02:58,2025-01-17 18:02:44,13,Short,Win,40.0,01/17/2025 18:02:44,0-30 sec,30-60 min,20.0,,
MNQ,167247890183,167247890169,1,21528.25,21548.25,$40.00,2025-01-17 18:02:58,2025-01-17 18:02:45,12,Short,Win,40.0,01/17/2025 18:02:45,0-30 sec,30-60 min,20.0,,
MNQ,167247890241,167247890259,2,21559.75,21579.75,$80.00,2025-01-17 18:05:29,2025-01-17 18:06:00,31,Long,Win,80.0,01/17/2025 18:05:29,30-120 sec,30-60 min,20.0,,
MNQ,167247890297,167247890279,2,21520.5,21506.5,$(56.00),2025-01-17 18:23:52,2025-01-17 18:23:01,50,Short,Loss,-56.0,01/17/2025 18:23:01,30-120 sec,30-60 min,-14.0,,
MNQ,167247890369,167247890316,1,21503.5,21520.75,$34.50,2025-01-17 18:26:11,2025-01-17 18:24:28,102,Short,Win,34.5,01/17/2025 18:24:28,30-120 sec,30-60 min,17.25,,
MNQ,167247890369,167247890334,1,21503.5,21520.75,$34.50,2025-01-17 18:26:11,2025-01-17 18:24:28,102,Short,Win,34.5,01/17/2025 18:24:28,30-120 sec,30-60 min,17.25,,
MNQ,167247890387,167247890409,2,21494.75,21503.5,$35.00,2025-01-17 18:28:06,2025-01-17 18:28:25,19,Long,Win,35.0,01/17/2025 18:28:06,0-30 sec,30-60 min,8.75,,
MNQ,167247890446,167247890428,2,21527.25,21513.25,$(56.00),2025-01-17 18:29:05,2025-01-17 18:28:58,6,Short,Loss,-56.0,01/17/2025 18:28:58,0-30 sec,30-60 min,-14.0,,
MNQ,167247890465,167247890496,2,21527.75,21535.0,$29.00,2025-01-17 18:29:12,2025-01-17 18:30:11,59,Long,Win,29.0,01/17/2025 18:29:12,30-120 sec,30-60 min,7.25,,
MNQ,167247890512,167247890547,2,21523.25,21531.25,$32.00,2025-01-17 18:30:56,2025-01-17 18:31:19,22,Long,Win,32.0,01/17/2025 18:30:56,0-30 sec,1-2 hour,8.0,,
MNQ,167247890595,167247890559,2,21566.25,21574.25,$32.00,2025-01-17 18:41:23,2025-01-17 18:41:07,15,Short,Win,32.0,01/17/2025 18:41:07,0-30 sec,1-2 hour,8.0,,
