symbol,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration,Symbol,Side,Result,Pnl,Bought Time,Sold Time,Trade Entry Time,Duration,Drt Category,Session,Pts,ATR 1M,ATR 5M
MNQH5,167247890012,167247890031,2,21529.5,21532.0,$10.00,01/17/2025 17:48:38,01/17/2025 17:48:45,7sec,MNQ,Long,Win,10.0,2025-01-17 17:48:38,2025-01-17 17:48:45,2025-01-17 17:48:38,7,0-30 sec,0-30 min,2.5,28.2,45.9
MNQH5,167247890067,167247890089,2,21519.0,21522.25,$13.00,01/17/2025 17:54:16,01/17/2025 17:55:14,58sec,MNQ,Long,Win,13.0,2025-01-17 17:54:16,2025-01-17 17:55:14,2025-01-17 17:54:16,58,30-120 sec,0-30 min,3.25,27.1,47.6
MNQH5,167247890135,167247890108,2,21539.5,21542.5,$12.00,01/17/2025 17:57:48,01/17/2025 17:56:12,1min 35sec,MNQ,Short,Win,12.0,2025-01-17 17:57:48,2025-01-17 17:56:12,2025-01-17 17:56:12,95,30-120 sec,0-30 min,3.0,25.2,50.9
MNQH5,167247890183,167247890151,1,21528.25,21548.25,$40.00,01/17/2025 18:02:58,01/17/2025 18:02:44,13sec,MNQ,Short,Win,40.0,2025-01-17 18:02:58,2025-01-17 18:02:44,2025-01-17 18:02:44,13,0-30 sec,30-60 min,20.0,26.2,52.9
MNQH5,167247890241,167247890259,2,21559.75,21579.75,$80.00,01/17/2025 18:05:29,01/17/2025 18:06:00,31sec,MNQ,Long,Win,80.0,2025-01-17 18:05:29,2025-01-17 18:06:00,2025-01-17 18:05:29,31,30-120 sec,30-60 min,20.0,26.9,53.1
MNQH5,167247890297,167247890279,2,21520.5,21506.5,$(56.00),01/17/2025 18:23:52,01/17/2025 18:23:01,50sec,MNQ,Short,Loss,-56.0,2025-01-17 18:23:52,2025-01-17 18:23:01,2025-01-17 18:23:01,50,30-120 sec,30-60 min,-14.0,23.5,56.5
MNQH5,167247890369,167247890316,1,21503.5,21520.75,$34.50,01/17/2025 18:26:11,01/17/2025 18:24:28,1min 42sec,MNQ,Short,Win,34.5,2025-01-17 18:26:11,2025-01-17 18:24:28,2025-01-17 18:24:28,102,30-120 sec,30-60 min,17.25,22.3,56.5
MNQH5,167247890387,167247890409,2,21494.75,21503.5,$35.00,01/17/2025 18:28:06,01/17/2025 18:28:25,19sec,MNQ,Long,Win,35.0,2025-01-17 18:28:06,2025-01-17 18:28:25,2025-01-17 18:28:06,19,0-30 sec,30-60 min,8.75,22.5,58.1
MNQH5,167247890446,167247890428,2,21527.25,21513.25,$(56.00),01/17/2025 18:29:05,01/17/2025 18:28:58,6sec,MNQ,Short,Loss,-56.0,2025-01-17 18:29:05,2025-01-17 18:28:58,2025-01-17 18:28:58,6,0-30 sec,30-60 min,-14.0,22.5,58.1
MNQH5,167247890465,167247890496,2,21527.75,21535.0,$29.00,01/17/2025 18:29:12,01/17/2025 18:30:11,59sec,MNQ,Long,Win,29.0,2025-01-17 18:29:12,2025-01-17 18:30:11,2025-01-17 18:29:12,59,30-120 sec,30-60 min,7.25,23.0,58.1
MNQH5,167247890512,167247890547,2,21523.25,21531.25,$32.00,01/17/2025 18:30:56,01/17/2025 18:31:19,22sec,MNQ,Long,Win,32.0,2025-01-17 18:30:56,2025-01-17 18:31:19,2025-01-17 18:30:56,22,0-30 sec,1-2 hour,8.0,23.5,58.0
MNQH5,167247890595,167247890559,2,21566.25,21574.25,$32.00,01/17/2025 18:41:23,01/17/2025 18:41:07,15sec,MNQ,Short,Win,32.0,2025-01-17 18:41:23,2025-01-17 18:41:07,2025-01-17 18:41:07,15,0-30 sec,1-2 hour,8.0,17.0,48.3
